title,genres,tags,1_star_votes,2_star_votes,3_star_votes,4_star_votes,5_star_votes,overall_rates
The Cold Regent Keeps a Fox as a Consort,"['Comedy', 'Drama', 'Josei', 'Romance', 'Supernatural']","['Ancient China', 'Appearance Different from Actual Age', 'Beasts', 'Beautiful Female Lead', 'Cohabitation', 'Cultivation', 'Dense Protagonist', 'Fantasy World', 'Female Protagonist', 'Fox Spirits', 'Handsome Male Lead', 'Human-Nonhuman Relationship', 'Non-humanoid Protagonist', 'Pets', 'Royalty', 'Schemes And Conspiracies', 'Transformation Ability', 'Transmigration']",31,10,22,8,73,3.6
After The Abyss Dragon Woke Up,"['School Life', 'Yaoi', 'Adventure', 'Comedy', 'Action', 'Fantasy']","['Academy', 'Calm Protagonist', 'Carefree Protagonist', 'Cold Love Interests', 'Comedic Undertone', 'Cute Protagonist', 'Cute Story', 'Determined Protagonist', 'Devoted Love Interests', 'Doting Love Interests', 'Dragon Slayers', 'Dragons', 'Family Conflict', 'Fantasy Creatures', 'Fantasy World', 'Futuristic Setting', 'Gate to Another World', 'Handsome Male Lead', 'Hidden Abilities', 'Hiding True Abilities', 'Hiding True Identity', 'Human-Nonhuman Relationship', 'Hunters', 'Lazy Protagonist', 'Love Interest Falls in Love First', 'Loyal Subordinates', 'Magic', 'Magic Beasts', 'Mismatched Couple', 'Misunderstandings', 'Money Grubber', 'Mysterious Family Background', 'Naive Protagonist', 'Non-humanoid Protagonist', 'Obsessive Love', 'Overpowered Protagonist', 'Possessive Characters', 'Protagonist Strong from the Start', 'Ruthless Protagonist', 'Secrets', 'Slow Growth at Start', 'Slow Romance', 'Strong Love Interests', 'Stubborn Protagonist', 'Sword And Magic', 'Younger Love Interests']",3,2,12,18,91,4.5
Childhood Sweethearts,"['School Life', 'Slice of Life', 'Comedy', 'Yuri']","['Character Growth', 'Childhood Friends', 'Childhood Love', 'Devoted Love Interests', 'Slow Romance']",2,2,2,2,9,3.8
Boss’s Blind Date Notes,"['Comedy', 'Romance', 'Shoujo']","['Bickering Couple', 'Blind Dates', 'Dense Protagonist', 'Female Protagonist', 'Handsome Male Lead', 'Modern Day', 'Office Romance', 'Slow Romance']",15,6,8,9,29,3.5
Scum Man Cannot Redeem Himself,"['Drama', 'Historical', 'Romance']","['Ancient China', 'Arranged Marriage', 'Betrayal', 'Business Management', 'Carefree Protagonist', 'Childhood Friends', 'Female Protagonist', 'Handsome Male Lead', 'Love Rivals', 'Love Triangles', 'Misunderstandings', 'Near-Death Experience', 'Schemes And Conspiracies', 'Second Chance', 'Tomboyish Female Lead', 'Weak to Strong']",16,7,12,2,12,2.7
Scholar…I Don’t Want Any…Meow,"['Shounen Ai', 'Xuanhuan']","['Ancient China', 'Animal Characteristics', 'Betrayal', 'Human-Nonhuman Relationship', 'Oneshot', 'Shapeshifters', 'Timid Protagonist']",2,0,13,20,24,4.1
Supporting Role’s Aura,"['Drama', 'Romance', 'Yaoi']","['Calm Protagonist', 'Devoted Love Interests', 'Doting Love Interests', 'Eidetic Memory', 'Episodic', 'Genius Protagonist', 'Handsome Male Lead', 'Love at First Sight', 'Love Interest Falls in Love First', 'Military', 'Mpreg', 'Multiple Transported Individuals', 'Revenge', 'Schemes And Conspiracies', 'Soldiers', 'Transmigration', 'World Hopping']",10,13,18,9,40,3.6
It is a Straight Road,"['Drama', 'Mystery', 'Romance']","['Ancient China', 'Aristocracy', 'Beautiful Female Lead', 'Clever Protagonist', 'Cold Protagonist', 'Dense Protagonist', 'Female Protagonist', 'Handsome Male Lead', 'Love Interest Falls in Love First', 'Misunderstandings']",9,5,8,4,34,3.8
The Guide to the Peak of Quick Transmigration,"['Adventure', 'Fantasy', 'Romance', 'Supernatural', 'Yuri']","['Appearance Different from Actual Age', 'Beautiful Female Lead', 'Devoted Love Interests', 'Female Protagonist', 'Love Interest Falls in Love First', 'Omegaverse', 'System Administrator', 'World Hopping']",6,4,6,5,20,3.7
Pampered to Heaven by RIch Husband,"['Drama', 'Fantasy', 'Romance']","['Arranged Marriage', 'Businessmen', 'Celebrities', 'Female Protagonist', 'Modern Day', 'Showbiz', 'System Administrator', 'Transmigration', 'Wealthy Characters']",3,2,2,0,1,2.3
Transmigration: Raising the Child of the Male Lead Boss,"['Comedy', 'Slice of Life', 'Fantasy', 'Romance']","['Acting', 'Arrogant Characters', 'Beautiful Female Lead', 'Bickering Couple', 'Bullying', 'Carefree Protagonist', 'Caring Protagonist', 'Celebrities', 'Childcare', 'Childish Protagonist', 'Clumsy Love Interests', 'Cold Love Interests', 'Complex Family Relationships', 'Confident Protagonist', 'Couple Growth', 'Cunning Protagonist', 'Cute Children', 'Cute Protagonist', 'Dense Protagonist', 'Determined Protagonist', 'Devoted Love Interests', 'Doting Love Interests', 'Familial Love', 'Family', 'Famous Parents', 'Famous Protagonist', 'Female Protagonist', 'Handsome Male Lead', 'Heartwarming', 'Hot-blooded Protagonist', 'Human-Nonhuman Relationship', 'Jealousy', 'Lack of Common Sense', 'Misunderstandings', 'Modern Day', 'Multiple POV', 'Naive Protagonist', 'Narcissistic Protagonist', 'Playful Protagonist', 'Popular Love Interests', 'Possessive Characters', 'Power Couple', 'Pregnancy', 'Previous Life Talent', 'Protagonist Falls in Love First', 'Protagonist Strong from the Start', 'Quirky Characters', 'Seduction', 'Shameless Protagonist', 'Showbiz', 'Slow Romance', 'Transmigration', 'Tsundere', 'Underestimated Protagonist', 'Villainess Noble Girls', 'Wealthy Characters']",28,22,48,54,328,4.3
Empire in Progress,"['Action', 'Fantasy', 'Historical', 'Psychological', 'Supernatural', 'Tragedy']","['Alternate World', 'Kingdom Building', 'Male Protagonist', 'Reincarnation', 'Time Travel', 'Wars']",2,2,4,0,6,3.4
My Target is the Male Lead’s Son,"['Adult', 'Comedy', 'Fantasy', 'Romance']","['Awkward Protagonist', 'Beautiful Female Lead', 'Character Growth', 'Clever Protagonist', 'Fated Lovers', 'Female Protagonist', 'Handsome Male Lead', 'Hard-Working Protagonist', 'Hiding True Identity', 'Marriage', 'Modern Day', 'System Administrator', 'Transmigration', 'Wealthy Characters', 'World Hopping']",3,2,6,4,13,3.8
Mo Yan’s Transmigration Inside The Book,"['Adult', 'Harem', 'Josei', 'Romance', 'Smut']","['An*l', 'Beautiful Female Lead', 'Broken Engagement', 'Confinement', 'Familial Love', 'Female Protagonist', 'First-time Interc**rse', 'F*llatio', 'Handsome Male Lead', 'Jealousy', 'Love Interest Falls in Love First', 'Male Yandere', 'Modern Day', 'Outdoor Interc**rse', 'Polyandry', 'Possessive Characters', 'Pregnancy', 'R*pe Victim Becomes Lover', 'Reincarnation', 'Reverse Harem', 'R*pe', 'Stockholm Syndrome', 'Threesome', 'Transmigration', 'Villainess Noble Girls', 'Wealthy Characters', 'Yandere']",27,16,21,12,67,3.5
I Became the Villain’s Own Daughter,"['Drama', 'Supernatural', 'Comedy', 'Tragedy', 'Slice of Life', 'Romance']","['Beautiful Female Lead', 'Child Protagonist', 'Childcare', 'Childish Protagonist', 'Cute Protagonist', 'Familial Love', 'Female Protagonist', 'Handsome Male Lead', 'Lucky Protagonist', 'Multiple Reincarnated Individuals', 'Naive Protagonist', 'Reincarnation', 'Second Chance', 'Tragic Past', 'Transmigration', 'Villainess Noble Girls', 'Wealthy Characters']",4,1,7,13,32,4.2
Above the Clouds,"['Drama', 'Mystery', 'Psychological', 'Yuri']","['Child Abuse', 'Childhood Friends', 'Crime', 'Criminals', 'Detectives', 'Gore', 'Investigations', 'Murders', 'Past Plays a Big Role', 'Police', 'Serial Killers', 'Yandere']",1,0,3,1,2,3.4
Where is Our Agreement to be Each Other’s Arch-Rivals?,"['Action', 'Comedy', 'Drama', 'Romance', 'Wuxia', 'Yaoi']","['Acting', 'Character Growth', 'Cultivation', 'Determined Protagonist', 'Devoted Love Interests', 'Doting Love Interests', 'Enemies Become Lovers', 'Love Interest Falls in Love First', 'Manly Gay Couple', 'Misunderstandings', 'Playful Protagonist', 'Power Couple', 'Sickly Characters', 'Transmigration', 'Tsundere', 'Younger Love Interests']",16,8,36,92,276,4.4
Little Terrified Bun,"['Shounen Ai', 'Comedy', 'Drama', 'Romance']","['Age Progression', 'Age Regression', 'Artists', 'Brother Complex', 'Businessmen', 'Child Protagonist', 'Complex Family Relationships', 'Doting Love Interests', 'Doting Older Siblings', 'Emotionally Weak Protagonist', 'Family Business', 'Family Conflict', 'Friendship', 'Inferiority Complex', 'Kidnappings', 'Love Interest Falls in Love First', 'Modern Day', 'Multiple Reincarnated Individuals', 'Naive Protagonist', 'Older Love Interests', 'Possessive Characters', 'Reincarnation', 'Second Chance', 'Siblings Not Related by Blood', 'Time Skip', 'Weak Protagonist', 'Wealthy Characters']",11,9,27,20,36,3.6
Cannon Fodder Battle,"['Drama', 'Adventure', 'Gender Bender', 'Action', 'Fantasy']","['Appearance Changes', 'Appearance Different from Actual Age', 'Calm Protagonist', 'Complex Family Relationships', 'Female Protagonist', 'Revenge', 'System Administrator', 'World Hopping']",0,0,1,1,1,4.0
Picked Up A Small Cannon Fodder,"['Shounen Ai', 'Comedy', 'Fantasy', 'Romance']","['Age Regression', 'Brotherhood', 'Businessmen', 'Charming Protagonist', 'Child Protagonist', 'Childcare', 'Childhood Friends', 'Childish Protagonist', 'Couple Growth', 'Cute Children', 'Cute Protagonist', 'Doting Older Siblings', 'Doting Parents', 'e-Sports', 'Friendship', 'Handsome Male Lead', 'Lack of Common Sense', 'Lucky Protagonist', 'Modern Day', 'Older Love Interests', 'Playful Protagonist', 'Shameless Protagonist', 'Slow Romance', 'Transmigration', 'Wealthy Characters']",5,10,5,5,19,3.5
For Love of the Game,"['Drama', 'Yaoi', 'Shounen Ai', 'Romance', 'Sports']","['Acting', 'Battle Competition', 'Black Belly', 'Comedic Undertone', 'Doting Love Interests', 'Doting Parents', 'e-Sports', 'Enemies Become Allies', 'Game Ranking System', 'Gamers', 'Handsome Male Lead', 'Heartwarming', 'Love at First Sight', 'Love Interest Falls in Love First', 'Overpowered Protagonist', 'Power Couple', 'Showbiz', 'Strategic Battles', 'Teamwork']",1,3,3,7,30,4.4
Professional Accomplishment Of A White Lotus,"['Adventure', 'Drama', 'Fantasy', 'Historical', 'Romance', 'Tragedy']","['Ancient China', 'Beautiful Female Lead', 'Black Belly', 'Charming Protagonist', 'Clever Protagonist', 'Cunning Protagonist', 'Episodic', 'Female Protagonist', 'Handsome Male Lead', 'Hard-Working Protagonist', 'Immortals', 'Imperial Harem', 'Interdimensional Travel', 'Multiple Realms', 'Parallel Worlds', 'Royalty', 'Showbiz', 'System Administrator', 'Unrequited Love', 'World Hopping', 'World Travel']",6,3,8,6,29,3.9
Transmigrating into the Female Supporting Character with a Good Life in a Laid-Back Novel,"['Slice of Life', 'Fantasy', 'Romance']","['Ancient China', 'Beautiful Female Lead', 'Black Belly', 'Calm Protagonist', 'Clever Protagonist', 'Cooking', 'Doting Love Interests', 'Family Conflict', 'Female Protagonist', 'Handsome Male Lead', 'Lucky Protagonist', 'Manipulative Characters', 'Marriage', 'Mob Protagonist', 'Multiple Transported Individuals', 'Orphans', 'Popular Love Interests', 'Possessive Characters', 'Pregnancy', 'Reincarnation', 'Schemes And Conspiracies', 'Smart Couple', 'Transmigration']",7,10,45,87,182,4.3
Monster Factory,"['Sci-fi', 'Supernatural', 'Comedy', 'Action', 'Slice of Life', 'Fantasy']","['Average-looking Protagonist', 'Business Management', 'Game Elements', 'Industrialization', 'Male Protagonist', 'Modern Day', 'Money Grubber', 'Monsters', 'Nationalism', 'Poor to Rich', 'Racism', 'Romantic Subplot', 'S*aves', 'Technological Gap', 'Weak Protagonist', 'Wealthy Characters']",73,20,24,51,226,3.9
The Little Village’s Ultimate Doctor,['Harem'],"['Arrogant Characters', 'Beautiful Female Lead', 'Cultivation', 'Doctors', 'Handsome Male Lead', 'Male Protagonist', 'Polygamy']",3,0,0,1,4,3.4
"Road Survival, I Have a Hint System!","['Action', 'Adventure', 'Comedy', 'Fantasy']","['Apocalypse', 'Arrogant Characters', 'Beast Companions', 'Beasts', 'Calm Protagonist', 'Chat Rooms', 'Cheats', 'Clever Protagonist', 'Cooking', 'Crafting', 'Cruel Characters', 'Distrustful Protagonist', 'Farming', 'Hidden Abilities', 'Level System', 'Male Protagonist', 'Multiple Transported Individuals', 'Nationalism', 'Pets', 'Protagonist Strong from the Start', 'Schemes And Conspiracies', 'Selfish Protagonist', 'Strong to Stronger', 'Survival', 'Survival Game', 'Transported into a Game World']",3,0,4,4,23,4.3
My Pet Human Got Kidnapped by a Wild Human,"['Comedy', 'Fantasy', 'Xuanhuan', 'Yaoi']","['Clever Protagonist', 'Cold Love Interests', 'Cute Protagonist', 'Cute Story', 'Death of Loved Ones', 'Devoted Love Interests', 'Doting Parents', 'Dragons', 'God Protagonist', 'Knights', 'Magic', 'Overpowered Protagonist', 'Revenge', 'Short Story', 'Slow Romance']",1,3,5,1,26,4.3
Xiao Hun Palace,"['Comedy', 'Fantasy', 'Romance', 'Shoujo', 'Xianxia']","['Caring Protagonist', 'Cultivation', 'Female Protagonist', 'Handsome Male Lead', 'Transported to Another World']",7,6,2,3,28,3.8
Using Marriage as Bait,"['Slice of Life', 'Drama', 'Romance']","['Beautiful Female Lead', 'Cold Love Interests', 'Cute Children', 'Female Protagonist', 'First Love', 'Handsome Male Lead', 'Love Interest Falls in Love First', 'Manipulative Characters', 'Marriage', 'Obsessive Love', 'Older Love Interests', 'Persistent Love Interests']",3,1,2,3,3,3.2
"Low IQ Supporting Female, Waiting for Death Online","['Comedy', 'Drama', 'Tragedy']","['Acting', 'Beautiful Female Lead', 'Clever Protagonist', 'Confident Protagonist', 'Death', 'Death of Loved Ones', 'Episodic', 'Female Protagonist', 'Interdimensional Travel', 'Misunderstandings', 'Modern Day', 'Multiple POV', 'Multiple Realms', 'Reincarnation', 'Shameless Protagonist', 'System Administrator', 'Transmigration', 'Unrequited Love', 'Villainess Noble Girls', 'Wealthy Characters', 'World Hopping']",5,4,18,33,166,4.6
I Fell in Love After Becoming a Ghost,"['Supernatural', 'Comedy', 'Shounen Ai', 'Slice of Life', 'Romance']","['Acting', 'Businessmen', 'Celebrities', 'Cute Protagonist', 'Dead Protagonist', 'Devoted Love Interests', 'Doting Love Interests', 'Famous Protagonist', 'Ghosts', 'Handsome Male Lead', 'Love Interest Falls in Love First', 'Modern Day', 'Older Love Interests', 'Showbiz', 'Wealthy Characters']",1,4,7,2,31,4.3
What To Do If The System Forces You To Exercise,"['Mature', 'Yuri', 'Drama', 'Comedy', 'Action', 'Martial Arts', 'Romance']","['Acting', 'Beautiful Female Lead', 'Carefree Protagonist', 'Celebrities', 'Co-Workers', 'Cold Love Interests', 'Determined Protagonist', 'Devoted Love Interests', 'Doting Love Interests', 'Doting Older Siblings', 'Doting Parents', 'Famous Protagonist', 'Female Protagonist', 'Genius Protagonist', 'Honest Protagonist', 'Love Interest Falls in Love First', 'Modern Day', 'Protagonist Strong from the Start', 'Showbiz', 'Sister Complex', 'Slow Romance', 'Strong to Stronger', 'System Administrator', 'Unconditional Love']",11,5,14,13,82,4.2
Return of the Divine Emperor,"['Action', 'Adventure', 'Fantasy', 'Harem', 'Historical', 'Romance', 'Xuanhuan']","['Adapted to Manhua', 'Arrogant Characters', 'Beautiful Female Lead', 'Cold Protagonist', 'Cultivation', 'Male Protagonist', 'Revenge']",8,8,7,8,17,3.4
Princess Gao Chang,"['Adult', 'Josei', 'Mature', 'Romance', 'Smut']","['Ancient China', 'Beautiful Female Lead', 'Female Protagonist', 'Handsome Male Lead', 'Male Yandere', 'Possessive Characters', 'Pregnancy', 'Reincarnation', 'Royalty', 'R*pe', 'Transmigration', 'Yandere']",5,1,5,1,16,3.8
The President Mistook Him For A Canary!,"['Shounen Ai', 'Comedy', 'Romance']","['Calm Protagonist', 'Carefree Protagonist', 'Cold Protagonist', 'Handsome Male Lead', 'Misunderstandings', 'Modern Day', 'Showbiz', 'Teachers']",1,2,4,3,21,4.3
With Han Geng @ Midnight,['Drama'],"['Acting', 'Dancers']",4,1,2,0,1,2.1
The Way of Favors,"['Martial Arts', 'Historical', 'Mystery', 'Romance']","['Adapted to Drama', 'Ancient China', 'Aristocracy', 'Dreams', 'Female Protagonist', 'Multiple Reincarnated Individuals', 'Politics', 'Royalty', 'Second Chance', 'Slow Romance']",4,3,5,4,14,3.7
The Rotten Girl,"['Comedy', 'Romance']","['Bickering Couple', 'Female Protagonist', 'Fujoshi', 'Modern Day', 'Office Romance']",8,5,6,3,31,3.8
Unlimited Anime Works,"['Martial Arts', 'Mature', 'Xuanhuan', 'Harem', 'Sci-fi', 'Adventure', 'Comedy', 'Action', 'Ecchi', 'Fantasy', 'Romance']","['Apocalypse', 'Beautiful Female Lead', 'Bickering Couple', 'Charismatic Protagonist', 'Charming Protagonist', 'Clever Protagonist', 'Cold Protagonist', 'Early Romance', 'Enemies Become Allies', 'Enemies Become Lovers', 'Famous Protagonist', 'Fanfiction', 'Game Elements', 'Gore', 'Handsome Male Lead', 'Harem-seeking Protagonist', 'Loli', 'Male Protagonist', 'Marriage', 'Military', 'Multiple Realms', 'Nationalism', 'Netori', 'Older Love Interests', 'Overpowered Protagonist', 'Parody', 'Polygamy', 'Pregnancy', 'Protagonist Strong from the Start', 'Racism', 'R*pe', 'Ruthless Protagonist', 'Strong to Stronger', 'Survival', 'Transported to Another World', 'Younger Love Interests', 'Zombies']",85,21,12,21,82,3.0
An Accident in Broad Daylight,"['School Life', 'Drama', 'Shounen Ai', 'Slice of Life', 'Romance']","['Abandoned Children', 'Absent Parents', 'Adapted to Drama CD', 'Adapted to Manhua', 'Character Growth', 'Cohabitation', 'College/University', 'Couple Growth', 'Family Conflict', 'First Love', 'Modern Day', 'Older Love Interests', 'Protagonist Falls in Love First', 'Seme Protagonist', 'Tragic Past']",5,5,8,13,81,4.4
Regarding The Trivial Matter of Not Being Able to Get Hard,"['Mature', 'Drama', 'Yaoi', 'Comedy', 'Slice of Life', 'Romance']","['Awkward Protagonist', 'Depictions of Cruelty', 'Depression', 'Devoted Love Interests', 'Gangs', 'Love Interest Falls in Love First', 'Seme Protagonist', 'Suicides']",3,1,5,4,21,4.1
"After Genderswap Reincarnation, I Raised the Strongest Player","['Gender Bender', 'Action', 'Fantasy', 'Romance']","['Incest', 'Male to Female', 'Mature Protagonist', 'Reincarnation', 'Virtual Reality']",6,6,2,5,23,3.8
My One And Only Love,"['School Life', 'Slice of Life', 'Comedy', 'Romance']","['Adapted to Drama', 'Average-looking Protagonist', 'Character Growth', 'College/University', 'Death of Loved Ones', 'Engineer', 'Female Protagonist', 'Handsome Male Lead', 'Heartwarming', 'Love Interest Falls in Love First', 'Modern Day', 'Older Love Interests', 'Orphans', 'Secret Crush', 'Student-Teacher Relationship', 'Teachers']",1,0,1,1,12,4.5
I Am a Great Scientist,['Sci-fi'],['Male Protagonist'],3,2,4,1,10,3.7
Jiao Huan Ying Hou,"['Comedy', 'Drama', 'Romance', 'Supernatural', 'Yuri']","['Acting', 'Beautiful Female Lead', 'Bickering Couple', 'Body Swap', 'Calm Protagonist', 'Celebrities', 'Cold Love Interests', 'Heartwarming', 'Modern Day', 'Showbiz']",15,2,5,5,147,4.5
"After Having an AI Boyfriend, I Will Never Be Afraid of Sunspots","['Fantasy', 'Romance', 'Sci-fi', 'Yaoi']","['Artificial Intelligence', 'Doting Love Interests', 'Genius Protagonist', 'Human-Nonhuman Relationship', 'Power Couple', 'Second Chance', 'Showbiz', 'Strong Love Interests', 'Transmigration']",1,0,4,3,5,3.8
I’m Pregnant with the Villain’s Child,"['Adult', 'Drama', 'Fantasy', 'Romance']","['Abusive Characters', 'Arranged Marriage', 'Beautiful Female Lead', 'Blackmail', 'Childcare', 'Complex Family Relationships', 'Cruel Characters', 'Family Conflict', 'Female Protagonist', 'Forced into a Relationship', 'Forced Marriage', 'Love Interest Falls in Love First', 'Male Yandere', 'Manipulative Characters', 'Misunderstandings', 'Obsessive Love', 'Possessive Characters', 'Pregnancy', 'Sibling Rivalry', 'Strong Love Interests', 'Transmigration', 'Twins']",69,33,58,92,238,3.8
